time,parent,analyte,matrix,conc,replicate,microMexp
15,atrazine,atrazine,microsomes,110.8050341,1,150
15,atrazine,atrazine,microsomes,114.7205562,2,150
15,atrazine,atrazine,microsomes,107.1291095,3,150
15,atrazine,atrazine,microsomes,110.2111065,4,150
30,atrazine,atrazine,microsomes,106.4113993,1,150
30,atrazine,atrazine,microsomes,109.2588435,2,150
30,atrazine,atrazine,microsomes,108.8110859,3,150
30,atrazine,atrazine,microsomes,98.45121644,4,150
60,atrazine,atrazine,microsomes,105.7397626,1,150
60,atrazine,atrazine,microsomes,103.5578664,2,150
60,atrazine,atrazine,microsomes,109.569591,3,150
60,atrazine,atrazine,microsomes,103.2077499,4,150
90,atrazine,atrazine,microsomes,96.26533592,1,150
90,atrazine,atrazine,microsomes,104.9741825,2,150
90,atrazine,atrazine,microsomes,105.7942757,3,150
90,atrazine,atrazine,microsomes,95.31462118,4,150
0,atrazine,atrazine,microsomes,152.8225899,1,200
0,atrazine,atrazine,microsomes,135.8870454,2,200
0,atrazine,atrazine,microsomes,146.1520591,3,200
15,atrazine,atrazine,microsomes,200.8987987,1,200
15,atrazine,atrazine,microsomes,134.815613,2,200
15,atrazine,atrazine,microsomes,211.5785603,3,200
30,atrazine,atrazine,microsomes,193.1222732,1,200
30,atrazine,atrazine,microsomes,210.4725656,2,200
30,atrazine,atrazine,microsomes,213.5140511,3,200
60,atrazine,atrazine,microsomes,197.4425651,1,200
60,atrazine,atrazine,microsomes,146.8087435,2,200
60,atrazine,atrazine,microsomes,201.9011064,3,200
90,atrazine,atrazine,microsomes,127.9031459,1,200
90,atrazine,atrazine,microsomes,203.6292232,2,200
90,atrazine,atrazine,microsomes,128.0068329,3,200
0,atrazine,atrazine,microsomes,135.98518,1,250
0,atrazine,atrazine,microsomes,118.5627805,2,250
0,atrazine,atrazine,microsomes,138.8461629,3,250
15,atrazine,atrazine,microsomes,111.0650322,1,250
15,atrazine,atrazine,microsomes,110.394181,2,250
15,atrazine,atrazine,microsomes,107.7699691,3,250
30,atrazine,atrazine,microsomes,110.0390245,1,250
31,atrazine,atrazine,microsomes,133.1636589,2,250
30,atrazine,atrazine,microsomes,106.6453068,3,250
60,atrazine,atrazine,microsomes,125.4094086,1,250
60,atrazine,atrazine,microsomes,132.3152295,2,250
60,atrazine,atrazine,microsomes,129.5529012,3,250
90,atrazine,atrazine,microsomes,107.9475473,1,250
90,atrazine,atrazine,microsomes,109.2892497,2,250
90,atrazine,atrazine,microsomes,110.9269157,3,250
0,atrazine,dea,microsomes,0,1,50
0,atrazine,dea,microsomes,0,2,50
0,atrazine,dea,microsomes,0,3,50
15,atrazine,dea,microsomes,0.105334715,1,50
15,atrazine,dea,microsomes,0.177716074,2,50
15,atrazine,dea,microsomes,0.215668236,3,50
30,atrazine,dea,microsomes,0.273065521,1,50
30,atrazine,dea,microsomes,0.362248011,2,50
30,atrazine,dea,microsomes,0.403265809,3,50
60,atrazine,dea,microsomes,0.502168642,1,50
60,atrazine,dea,microsomes,0.64289193,2,50
60,atrazine,dea,microsomes,0.720570734,3,50
90,atrazine,dea,microsomes,0.725802164,1,50
90,atrazine,dea,microsomes,0.865500124,2,50
90,atrazine,dea,microsomes,0.956691847,3,50
0,atrazine,dea,microsomes,0,1,10
0,atrazine,dea,microsomes,0,2,10
0,atrazine,dea,microsomes,0,3,10
15,atrazine,dea,microsomes,0.062527948,1,10
15,atrazine,dea,microsomes,0.066722432,2,10
15,atrazine,dea,microsomes,0.073739184,3,10
30,atrazine,dea,microsomes,0.13417786,1,10
30,atrazine,dea,microsomes,0.142144514,2,10
30,atrazine,dea,microsomes,0.153899766,3,10
60,atrazine,dea,microsomes,0.359398841,1,10
60,atrazine,dea,microsomes,0.284549411,2,10
60,atrazine,dea,microsomes,0.293488967,3,10
60,atrazine,dea,microsomes,0.291970799,4,10
90,atrazine,dea,microsomes,0.378114427,2,10
90,atrazine,dea,microsomes,0.405964967,3,10
0,atrazine,dea,microsomes,0,1,100
0,atrazine,dea,microsomes,0,2,100
0,atrazine,dea,microsomes,0,3,100
15,atrazine,dea,microsomes,0.692469949,1,100
15,atrazine,dea,microsomes,0.598237597,2,100
15,atrazine,dea,microsomes,0.603481745,3,100
30,atrazine,dea,microsomes,1.23886552,1,100
30,atrazine,dea,microsomes,1.156190328,2,100
30,atrazine,dea,microsomes,1.011651128,3,100
60,atrazine,dea,microsomes,2.056702931,1,100
60,atrazine,dea,microsomes,1.850305243,2,100
60,atrazine,dea,microsomes,1.516060546,3,100
90,atrazine,dea,microsomes,2.637550555,1,100
90,atrazine,dea,microsomes,2.271829323,2,100
90,atrazine,dea,microsomes,2.15464298,3,100
0,atrazine,dea,microsomes,0,1,75
0,atrazine,dea,microsomes,0,2,75
0,atrazine,dea,microsomes,0,3,75
15,atrazine,dea,microsomes,0.126910879,1,75
15,atrazine,dea,microsomes,0.194298986,2,75
15,atrazine,dea,microsomes,0.205689666,3,75
30,atrazine,dea,microsomes,0.343048244,1,75
30,atrazine,dea,microsomes,0.344665429,2,75
30,atrazine,dea,microsomes,0.433300567,3,75
60,atrazine,dea,microsomes,0.79823473,1,75
60,atrazine,dea,microsomes,0.910129645,2,75
60,atrazine,dea,microsomes,0.789753599,3,75
90,atrazine,dea,microsomes,1.097803094,1,75
90,atrazine,dea,microsomes,1.250836941,2,75
90,atrazine,dea,microsomes,0.891346428,3,75
0,atrazine,dea,microsomes,0,1,125
0,atrazine,dea,microsomes,0,2,125
0,atrazine,dea,microsomes,0,3,125
15,atrazine,dea,microsomes,0.660583406,1,125
15,atrazine,dea,microsomes,0.521827731,2,125
15,atrazine,dea,microsomes,0.519014334,3,125
30,atrazine,dea,microsomes,0.937060708,2,125
30,atrazine,dea,microsomes,0.947234926,3,125
60,atrazine,dea,microsomes,1.586433592,2,125
60,atrazine,dea,microsomes,1.701961252,3,125
90,atrazine,dea,microsomes,2.098184546,1,125
90,atrazine,dea,microsomes,2.114078113,2,125
90,atrazine,dea,microsomes,1.9947066,3,125
0,atrazine,dea,microsomes,0,1,0.712
0,atrazine,dea,microsomes,0,2,0.712
0,atrazine,dea,microsomes,0,3,0.712
15,atrazine,dea,microsomes,0,1,0.712
15,atrazine,dea,microsomes,0,2,0.712
15,atrazine,dea,microsomes,0,3,0.712
30,atrazine,dea,microsomes,0,1,0.712
30,atrazine,dea,microsomes,0,2,0.712
30,atrazine,dea,microsomes,0,3,0.712
60,atrazine,dea,microsomes,0,1,0.712
60,atrazine,dea,microsomes,0,2,0.712
90,atrazine,dea,microsomes,0,1,0.712
90,atrazine,dea,microsomes,0,2,0.712
90,atrazine,dea,microsomes,0,3,0.712
0,atrazine,dea,microsomes,0,1,3.1684
0,atrazine,dea,microsomes,0,2,3.1684
0,atrazine,dea,microsomes,0,3,3.1684
15,atrazine,dea,microsomes,0,1,3.1684
15,atrazine,dea,microsomes,0,2,3.1684
15,atrazine,dea,microsomes,0,3,3.1684
30,atrazine,dea,microsomes,0,1,3.1684
30,atrazine,dea,microsomes,0,2,3.1684
30,atrazine,dea,microsomes,0,3,3.1684
60,atrazine,dea,microsomes,0.004276181,1,3.1684
60,atrazine,dea,microsomes,0,2,3.1684
60,atrazine,dea,microsomes,0,3,3.1684
90,atrazine,dea,microsomes,0.068958259,1,3.1684
90,atrazine,dea,microsomes,0.095246481,2,3.1684
90,atrazine,dea,microsomes,0.042564751,3,3.1684
0,atrazine,dea,microsomes,0,1,200
0,atrazine,dea,microsomes,0,2,200
0,atrazine,dea,microsomes,0,3,200
15,atrazine,dea,microsomes,0,1,200
15,atrazine,dea,microsomes,0,2,200
15,atrazine,dea,microsomes,0,3,200
30,atrazine,dea,microsomes,0,1,200
30,atrazine,dea,microsomes,0,2,200
30,atrazine,dea,microsomes,0,3,200
60,atrazine,dea,microsomes,0,1,200
60,atrazine,dea,microsomes,0.08814803,2,200
60,atrazine,dea,microsomes,0,3,200
90,atrazine,dea,microsomes,0.636612173,1,200
90,atrazine,dea,microsomes,0.308057976,2,200
90,atrazine,dea,microsomes,0.343301822,3,200
0,atrazine,dea,microsomes,0,1,250
0,atrazine,dea,microsomes,0,2,250
0,atrazine,dea,microsomes,0,3,250
15,atrazine,dea,microsomes,0.303186347,1,250
15,atrazine,dea,microsomes,0.314346484,2,250
15,atrazine,dea,microsomes,0.32890249,3,250
30,atrazine,dea,microsomes,0.470955087,1,250
30,atrazine,dea,microsomes,0.418661875,3,250
60,atrazine,dea,microsomes,0.69686814,1,250
60,atrazine,dea,microsomes,0.65732937,2,250
90,atrazine,dea,microsomes,1.058297138,1,250
90,atrazine,dea,microsomes,1.054151944,2,250
90,atrazine,dea,microsomes,0.826804017,3,250
0,atrazine,dea,microsomes,0,1,150
0,atrazine,dea,microsomes,0,2,150
0,atrazine,dea,microsomes,0,3,150
0,atrazine,dea,microsomes,0,4,150
15,atrazine,dea,microsomes,0.651134538,1,150
15,atrazine,dea,microsomes,0.410418033,2,150
15,atrazine,dea,microsomes,0.72633168,3,150
15,atrazine,dea,microsomes,0.655344167,4,150
30,atrazine,dea,microsomes,1.213331632,1,150
30,atrazine,dea,microsomes,0.938854783,2,150
30,atrazine,dea,microsomes,1.336588359,3,150
30,atrazine,dea,microsomes,1.220393789,4,150
60,atrazine,dea,microsomes,2.258618197,1,150
60,atrazine,dea,microsomes,2.185187246,3,150
60,atrazine,dea,microsomes,2.037689206,4,150
90,atrazine,dea,microsomes,2.794152863,1,150
90,atrazine,dea,microsomes,2.97663412,3,150
90,atrazine,dea,microsomes,2.702787847,4,150
0,atrazine,dia,microsomes,0,1,50
0,atrazine,dia,microsomes,0,2,50
0,atrazine,dia,microsomes,0,3,50
15,atrazine,dia,microsomes,0.17588934,1,50
15,atrazine,dia,microsomes,0.162027282,2,50
15,atrazine,dia,microsomes,0.163356559,3,50
30,atrazine,dia,microsomes,0.343213005,1,50
30,atrazine,dia,microsomes,0.307927387,2,50
30,atrazine,dia,microsomes,0.309459105,3,50
60,atrazine,dia,microsomes,0.560097677,1,50
60,atrazine,dia,microsomes,0.54821645,2,50
60,atrazine,dia,microsomes,0.533109282,3,50
90,atrazine,dia,microsomes,0.73827321,1,50
90,atrazine,dia,microsomes,0.728694143,2,50
90,atrazine,dia,microsomes,0.726811372,3,50
0,atrazine,dia,microsomes,0,1,10
0,atrazine,dia,microsomes,0,2,10
0,atrazine,dia,microsomes,0,3,10
15,atrazine,dia,microsomes,0.037225886,1,10
15,atrazine,dia,microsomes,0.038369499,2,10
15,atrazine,dia,microsomes,0.046312162,3,10
30,atrazine,dia,microsomes,0.08490015,1,10
30,atrazine,dia,microsomes,0.083838648,2,10
30,atrazine,dia,microsomes,0.093345378,3,10
60,atrazine,dia,microsomes,0.209721193,1,10
60,atrazine,dia,microsomes,0.168743119,2,10
60,atrazine,dia,microsomes,0.161851994,3,10
60,atrazine,dia,microsomes,0.162150446,4,10
90,atrazine,dia,microsomes,0.222852555,2,10
90,atrazine,dia,microsomes,0.229604672,3,10
0,atrazine,dia,microsomes,0,1,100
0,atrazine,dia,microsomes,0,2,100
0,atrazine,dia,microsomes,0,3,100
15,atrazine,dia,microsomes,0.519984026,1,100
15,atrazine,dia,microsomes,0.456185794,2,100
15,atrazine,dia,microsomes,0.465640368,3,100
30,atrazine,dia,microsomes,0.969762496,1,100
30,atrazine,dia,microsomes,0.925948373,2,100
30,atrazine,dia,microsomes,0.828633383,3,100
60,atrazine,dia,microsomes,1.646101156,1,100
60,atrazine,dia,microsomes,1.493978674,2,100
60,atrazine,dia,microsomes,1.273473826,3,100
90,atrazine,dia,microsomes,2.097846916,1,100
90,atrazine,dia,microsomes,1.845660879,2,100
90,atrazine,dia,microsomes,1.775884862,3,100
0,atrazine,dia,microsomes,0,1,75
0,atrazine,dia,microsomes,0,2,75
0,atrazine,dia,microsomes,0,3,75
15,atrazine,dia,microsomes,0.105167732,1,75
15,atrazine,dia,microsomes,0.164272494,2,75
15,atrazine,dia,microsomes,0.177858813,3,75
30,atrazine,dia,microsomes,0.289730134,1,75
30,atrazine,dia,microsomes,0.302066953,2,75
30,atrazine,dia,microsomes,0.387892352,3,75
60,atrazine,dia,microsomes,0.703975509,1,75
60,atrazine,dia,microsomes,0.8027739,2,75
60,atrazine,dia,microsomes,0.718751156,3,75
90,atrazine,dia,microsomes,0.974859321,1,75
90,atrazine,dia,microsomes,1.104369407,2,75
90,atrazine,dia,microsomes,0.769135715,3,75
0,atrazine,dia,microsomes,0,1,125
0,atrazine,dia,microsomes,0,2,125
0,atrazine,dia,microsomes,0,3,125
15,atrazine,dia,microsomes,0.558156141,1,125
15,atrazine,dia,microsomes,0.453398653,2,125
15,atrazine,dia,microsomes,0.457441572,3,125
30,atrazine,dia,microsomes,0.819739976,2,125
30,atrazine,dia,microsomes,0.818340148,3,125
60,atrazine,dia,microsomes,1.39707951,2,125
60,atrazine,dia,microsomes,1.483198815,3,125
90,atrazine,dia,microsomes,1.818559552,1,125
90,atrazine,dia,microsomes,1.850457042,2,125
90,atrazine,dia,microsomes,1.741234977,3,125
0,atrazine,dia,microsomes,0,1,0.712
0,atrazine,dia,microsomes,0,2,0.712
0,atrazine,dia,microsomes,0,3,0.712
15,atrazine,dia,microsomes,0,1,0.712
15,atrazine,dia,microsomes,0,2,0.712
15,atrazine,dia,microsomes,0,3,0.712
30,atrazine,dia,microsomes,0,1,0.712
30,atrazine,dia,microsomes,0,2,0.712
30,atrazine,dia,microsomes,0,3,0.712
60,atrazine,dia,microsomes,0,1,0.712
60,atrazine,dia,microsomes,0,2,0.712
60,atrazine,dia,microsomes,0,3,0.712
90,atrazine,dia,microsomes,0,1,0.712
90,atrazine,dia,microsomes,0,2,0.712
90,atrazine,dia,microsomes,0,3,0.712
0,atrazine,dia,microsomes,0,1,3.1684
0,atrazine,dia,microsomes,0,2,3.1684
0,atrazine,dia,microsomes,0,3,3.1684
15,atrazine,dia,microsomes,0,1,3.1684
15,atrazine,dia,microsomes,0,2,3.1684
15,atrazine,dia,microsomes,0,3,3.1684
30,atrazine,dia,microsomes,0,1,3.1684
30,atrazine,dia,microsomes,0,2,3.1684
30,atrazine,dia,microsomes,0,3,3.1684
60,atrazine,dia,microsomes,0,1,3.1684
60,atrazine,dia,microsomes,0,2,3.1684
60,atrazine,dia,microsomes,0,3,3.1684
90,atrazine,dia,microsomes,0,1,3.1684
90,atrazine,dia,microsomes,0,2,3.1684
90,atrazine,dia,microsomes,0,3,3.1684
0,atrazine,dia,microsomes,0,1,250
0,atrazine,dia,microsomes,0,2,250
0,atrazine,dia,microsomes,0,3,250
15,atrazine,dia,microsomes,0.488073154,1,250
15,atrazine,dia,microsomes,0.494203709,2,250
15,atrazine,dia,microsomes,0.58569046,3,250
30,atrazine,dia,microsomes,0.731173258,1,250
30,atrazine,dia,microsomes,0.714667917,3,250
60,atrazine,dia,microsomes,1.145221545,1,250
60,atrazine,dia,microsomes,1.154181588,2,250
90,atrazine,dia,microsomes,1.638731263,1,250
90,atrazine,dia,microsomes,1.563749853,2,250
90,atrazine,dia,microsomes,1.475092589,3,250
0,atrazine,dia,microsomes,0,1,150
0,atrazine,dia,microsomes,0,2,150
0,atrazine,dia,microsomes,0,3,150
0,atrazine,dia,microsomes,0,4,150
15,atrazine,dia,microsomes,0.462309631,1,150
15,atrazine,dia,microsomes,0.255700106,2,150
15,atrazine,dia,microsomes,0.526463046,3,150
15,atrazine,dia,microsomes,0.47230486,4,150
30,atrazine,dia,microsomes,0.931548447,1,150
30,atrazine,dia,microsomes,0.722337549,2,150
30,atrazine,dia,microsomes,1.066740758,3,150
30,atrazine,dia,microsomes,0.948249061,4,150
60,atrazine,dia,microsomes,1.827879364,1,150
60,atrazine,dia,microsomes,1.789768545,3,150
60,atrazine,dia,microsomes,1.614786398,4,150
90,atrazine,dia,microsomes,2.243971727,1,150
90,atrazine,dia,microsomes,2.385364241,3,150
90,atrazine,dia,microsomes,2.16439478,4,150
0,atrazine,dia,microsomes,0,1,200
0,atrazine,dia,microsomes,0,2,200
0,atrazine,dia,microsomes,0,3,200
15,atrazine,dia,microsomes,0,1,200
15,atrazine,dia,microsomes,0,2,200
15,atrazine,dia,microsomes,0,3,200
30,atrazine,dia,microsomes,0,1,200
30,atrazine,dia,microsomes,0,2,200
30,atrazine,dia,microsomes,0,3,200
60,atrazine,dia,microsomes,0.147179292,1,200
60,atrazine,dia,microsomes,0.49374336,2,200
60,atrazine,dia,microsomes,0.185151589,3,200
90,atrazine,dia,microsomes,0.905020781,1,200
90,atrazine,dia,microsomes,0.751527127,2,200
90,atrazine,dia,microsomes,0.778803003,3,200
0,fipronil,fipsulf,microsomes,0.125996797,1,10
0,fipronil,fipsulf,microsomes,0.047756822,2,10
0,fipronil,fipsulf,microsomes,0.057531836,3,10
15,fipronil,fipsulf,microsomes,0.226052779,1,10
15,fipronil,fipsulf,microsomes,0.249546426,2,10
15,fipronil,fipsulf,microsomes,0.249495111,3,10
30,fipronil,fipsulf,microsomes,0.556306401,1,10
30,fipronil,fipsulf,microsomes,0.629523416,2,10
30,fipronil,fipsulf,microsomes,0.545734442,3,10
60,fipronil,fipsulf,microsomes,1.029532274,1,10
60,fipronil,fipsulf,microsomes,1.020828782,2,10
60,fipronil,fipsulf,microsomes,1.121529265,3,10
90,fipronil,fipsulf,microsomes,1.478049545,1,10
90,fipronil,fipsulf,microsomes,1.552223152,2,10
90,fipronil,fipsulf,microsomes,1.605171177,3,10
0,fipronil,fipsulf,microsomes,0,1,2.89
0,fipronil,fipsulf,microsomes,0,2,2.89
0,fipronil,fipsulf,microsomes,0,3,2.89
15,fipronil,fipsulf,microsomes,0,1,2.89
15,fipronil,fipsulf,microsomes,0,2,2.89
15,fipronil,fipsulf,microsomes,0,3,2.89
30,fipronil,fipsulf,microsomes,0.072417652,1,2.89
30,fipronil,fipsulf,microsomes,0.105189206,2,2.89
30,fipronil,fipsulf,microsomes,0.093830232,3,2.89
60,fipronil,fipsulf,microsomes,0.446059868,1,2.89
60,fipronil,fipsulf,microsomes,0.501873862,2,2.89
60,fipronil,fipsulf,microsomes,1.937676963,3,2.89
90,fipronil,fipsulf,microsomes,0.541481009,1,2.89
90,fipronil,fipsulf,microsomes,0.713021528,2,2.89
90,fipronil,fipsulf,microsomes,0.948269563,3,2.89
0,fipronil,fipsulf,microsomes,1.232923543,1,50
0,fipronil,fipsulf,microsomes,6.086978824,2,50
0,fipronil,fipsulf,microsomes,0.564979782,3,50
15,fipronil,fipsulf,microsomes,2.509901494,1,50
15,fipronil,fipsulf,microsomes,0.497072024,2,50
15,fipronil,fipsulf,microsomes,0.573048602,3,50
30,fipronil,fipsulf,microsomes,0.208702278,1,50
30,fipronil,fipsulf,microsomes,1.224307072,2,50
30,fipronil,fipsulf,microsomes,0.86186791,3,50
60,fipronil,fipsulf,microsomes,2.640613398,1,50
60,fipronil,fipsulf,microsomes,2.278728642,2,50
60,fipronil,fipsulf,microsomes,1.938091721,3,50
90,fipronil,fipsulf,microsomes,3.288556396,1,50
90,fipronil,fipsulf,microsomes,2.79424236,2,50
90,fipronil,fipsulf,microsomes,2.85277407,3,50
0,fipronil,fipsulf,microsomes,0,1,75
0,fipronil,fipsulf,microsomes,0,2,75
0,fipronil,fipsulf,microsomes,0,3,75
15,fipronil,fipsulf,microsomes,0.61596018,1,75
15,fipronil,fipsulf,microsomes,0.004496637,2,75
15,fipronil,fipsulf,microsomes,0.393574273,3,75
30,fipronil,fipsulf,microsomes,1.00896852,1,75
30,fipronil,fipsulf,microsomes,1.080335369,2,75
30,fipronil,fipsulf,microsomes,1.122428808,3,75
60,fipronil,fipsulf,microsomes,0.794034486,2,75
60,fipronil,fipsulf,microsomes,1.567175192,3,75
90,fipronil,fipsulf,microsomes,1.445091993,1,75
90,fipronil,fipsulf,microsomes,1.567376573,2,75
90,fipronil,fipsulf,microsomes,1.397216044,3,75
0,fipronil,fipsulf,microsomes,0.064056262,1,100
0,fipronil,fipsulf,microsomes,0.084903651,2,100
0,fipronil,fipsulf,microsomes,0.054098343,3,100
15,fipronil,fipsulf,microsomes,1.037370756,1,100
15,fipronil,fipsulf,microsomes,1.004548869,2,100
15,fipronil,fipsulf,microsomes,1.211451943,3,100
30,fipronil,fipsulf,microsomes,1.770038982,1,100
30,fipronil,fipsulf,microsomes,1.964421756,2,100
30,fipronil,fipsulf,microsomes,2.082784287,3,100
60,fipronil,fipsulf,microsomes,2.421230649,1,100
60,fipronil,fipsulf,microsomes,2.716290502,2,100
60,fipronil,fipsulf,microsomes,2.511880669,3,100
90,fipronil,fipsulf,microsomes,2.884476336,1,100
90,fipronil,fipsulf,microsomes,3.658963096,2,100
90,fipronil,fipsulf,microsomes,3.101044324,3,100
0,fipronil,fipsulf,microsomes,0,1,125
0,fipronil,fipsulf,microsomes,0,2,125
0,fipronil,fipsulf,microsomes,0,3,125
15,fipronil,fipsulf,microsomes,1.0685532,1,125
15,fipronil,fipsulf,microsomes,1.193964217,2,125
15,fipronil,fipsulf,microsomes,1.061157254,3,125
30,fipronil,fipsulf,microsomes,1.739690158,1,125
30,fipronil,fipsulf,microsomes,1.568026457,2,125
30,fipronil,fipsulf,microsomes,1.831902381,3,125
60,fipronil,fipsulf,microsomes,2.58185903,1,125
60,fipronil,fipsulf,microsomes,2.518118409,2,125
60,fipronil,fipsulf,microsomes,2.706182414,3,125
90,fipronil,fipsulf,microsomes,3.388713261,1,125
90,fipronil,fipsulf,microsomes,3.265199632,2,125
90,fipronil,fipsulf,microsomes,3.360717697,3,125
0,fipronil,fipsulf,microsomes,0.319307475,1,150
0,fipronil,fipsulf,microsomes,0.322811871,2,150
0,fipronil,fipsulf,microsomes,0.334641014,3,150
15,fipronil,fipsulf,microsomes,1.513101462,1,150
15,fipronil,fipsulf,microsomes,1.254618226,2,150
